Files already downloaded and verified
Files already downloaded and verified
Profiling single forward pass of frog image. 
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         0.00%      29.000us        64.66%     787.373ms     262.458ms       0.000us         0.00%     117.000us      39.000us           0 b           0 b      25.50 Kb           0 b             3      1281.600  
                                      aten::convolution         0.01%      63.000us        64.66%     787.344ms     262.448ms       0.000us         0.00%     117.000us      39.000us           0 b           0 b      25.50 Kb           0 b             3            --  
                                     aten::_convolution         0.01%     130.000us        64.66%     787.281ms     262.427ms       0.000us         0.00%     117.000us      39.000us           0 b           0 b      25.50 Kb           0 b             3            --  
                                aten::cudnn_convolution         3.38%      41.117ms        64.63%     786.974ms     262.325ms     108.000us        69.23%     108.000us      36.000us           0 b           0 b      25.50 Kb      23.50 Kb             3            --  
                                     cudaGetDeviceCount         0.00%       2.000us         0.00%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                   cudaDriverGetVersion         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                 cudaDeviceGetAttribute         0.00%       2.000us         0.00%       2.000us       0.045us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            44            --  
                                cudaGetDeviceProperties         0.01%      88.000us         0.01%      88.000us      88.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                              cudaStreamCreateWithFlags        33.96%     413.552ms        33.96%     413.552ms      51.694ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                       cudaDeviceGetStreamPriorityRange         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                           cudaStreamCreateWithPriority         0.02%     197.000us         0.02%     197.000us      49.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                             cudaMalloc         0.04%     488.000us         0.04%     488.000us      48.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                        cudaMemsetAsync         0.00%      15.000us         0.00%      15.000us       3.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         3.21%       5.000us       1.250us           0 b           0 b           0 b           0 b             4            --  
                                          cudaHostAlloc         0.04%     478.000us         0.04%     478.000us     478.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                               cudaHostGetDevicePointer         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                               cudaFree        35.16%     428.141ms        35.16%     428.141ms      85.628ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
                                   cudaGetSymbolAddress         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                            aten::empty         0.00%      41.000us         0.00%      41.000us      13.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             3            --  
                                       cudaLaunchKernel        27.22%     331.396ms        27.22%     331.396ms      22.093ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            15            --  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us      57.000us        36.54%      57.000us      28.500us           0 b           0 b           0 b           0 b             2            --  
                                          aten::reshape         0.00%      22.000us         0.00%      31.000us      10.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3            --  
                                   aten::_reshape_alias         0.00%      26.000us         0.00%      26.000us       6.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                             aten::add_         0.01%     100.000us         0.01%     146.000us      48.667us       9.000us         5.77%       9.000us       3.000us           0 b           0 b           0 b           0 b             3            --  
                                          aten::sigmoid         0.01%     138.000us         0.01%     179.000us      59.667us      11.000us         7.05%      11.000us       3.667us           0 b           0 b      25.50 Kb      25.50 Kb             3            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -25.50 Kb     -25.50 Kb             3            --  
                                       aten::avg_pool2d         0.01%     115.000us         0.01%     141.000us      70.500us       9.000us         5.77%       9.000us       4.500us           0 b           0 b       7.00 Kb       7.00 Kb             2            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us         4.49%       7.000us       3.500us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         7.05%      11.000us       3.667us           0 b           0 b           0 b           0 b             3            --  
void at::native::(anonymous namespace)::avg_pool2d_o...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         5.77%       9.000us       4.500us           0 b           0 b           0 b           0 b             2            --  
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.28%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us      44.000us        28.21%      44.000us      44.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.28%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                          aten::flatten         0.00%       4.000us         0.00%      21.000us      21.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                           aten::linear         0.00%      55.000us        35.30%     429.888ms     214.944ms       0.000us         0.00%      15.000us       7.500us           0 b           0 b       1.00 Kb           0 b             2            --  
                                                aten::t         0.00%      22.000us         0.00%      37.000us      18.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                        aten::transpose         0.00%       9.000us         0.00%      15.000us       7.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                       aten::as_strided         0.00%       7.000us         0.00%       7.000us       1.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                            aten::addmm         0.11%       1.311ms        35.30%     429.796ms     214.898ms      15.000us         9.62%      15.000us       7.500us           0 b           0 b       1.00 Kb       1.00 Kb             2        21.840  
                                           aten::expand         0.00%       6.000us         0.00%       7.000us       3.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                        cudaMemcpyAsync         0.00%      47.000us         0.00%      47.000us      23.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         2.56%       4.000us       2.000us           0 b           0 b           0 b           0 b             2            --  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.00%       8.000us         0.00%       8.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         7.05%      11.000us       5.500us           0 b           0 b           0 b           0 b             2            --  
